ID,region,county,lat,long,condition_rate,inspection_date,bridge_length_ft,curb_to_curb_width_ft,deck_area_sq_ft,aadt,year_of_aadt,material,structure,year,popz
14661,6,#N/A,42.08496304,-77.90964798,6.42,43004,50,24,1245,-0.4,2015,8,3,1957,-0.6
14662,5,#N/A,43.02736104,-78.58730598,6.16,43210,28,19.5,563,-0.4,2015,6,6,1890,0.9
14663,8,#N/A,42.02781241,-74.27135311,5.82,43228,36,24,929,-0.4,2002,8,3,1994,-0.4
14664,9,#N/A,42.70932497,-74.978763,5,42924,23,0,1210,-0.4,2017,4,19,1972,-0.6
14665,4,#N/A,43.221434,-77.768931,6.45,43214,27,24,764,-0.4,2017,6,6,1993,0.6
14666,2,#N/A,43.31808502,-75.06103904,4.8,43010,66,19.2,1400,-0.4,2017,6,6,1961,-0.6
14667,2,#N/A,43.37650496,-75.58960994,5.64,43291,38,25.7,1102,-0.4,2015,6,6,1999,-0.3
14668,5,#N/A,42.33470802,-78.94100996,7,43390,38,0,3420,-0.4,2017,2,19,2004,-0.6
14669,1,#N/A,42.471034,-74.016077,5.13,42985,44,30,1408,-0.4,2016,4,3,1949,-0.2
14670,3,#N/A,42.54146003,-75.90406306,5,43075,23,21,575,-0.4,2015,2,19,1997,-0.6
14671,4,#N/A,43.09219,-78.05563803,7,42838,43,23.4,1032,-0.4,2017,6,6,1966,-0.6
14672,4,#N/A,42.913607,-78.121137,4.97,42859,24,24.9,658,-0.4,2017,11,3,1949,-0.6
14673,6,#N/A,42.17465103,-77.463299,6.38,43411,59,30.4,1912,-0.4,2017,6,6,1991,-0.5
14674,8,#N/A,42.45864902,-73.58268294,5.31,42830,263,24,8153,-0.4,2015,4,3,1958,-0.6
14675,9,#N/A,42.673453,-74.25400402,5.92,43433,154,24,3850,-0.4,2017,11,11,2008,-0.7
14676,9,#N/A,42.39710299,-75.81229899,6.23,43319,63,19.1,1273,-0.4,2016,6,6,1935,-0.6
14677,6,#N/A,42.13487399,-77.23633694,6.33,43354,45,26.7,1278,-0.4,2015,6,6,1998,-0.5
14678,6,#N/A,42.35714104,-78.11492297,6.59,43353,40,23.8,1052,-0.4,2013,8,2,1965,-0.6
14679,3,#N/A,42.99757298,-76.66031301,4.11,43214,40,17.5,720,-0.4,2013,6,6,1965,-0.6
14680,3,#N/A,43.28559899,-76.00524602,4.61,43320,44,21.7,1000,-0.4,2015,4,3,1984,-0.5
14681,7,#N/A,43.77334505,-75.50309301,6.17,43383,30,24.7,780,-0.4,2014,4,3,1979,-0.7
14682,1,#N/A,43.39486596,-73.55715594,7,42934,35,0,1050,-0.4,2011,4,19,1999,-0.6
14683,6,#N/A,42.37586703,-78.12885998,6.22,43193,28,24,728,-0.4,2013,8,2,2008,-0.6
14684,10,#N/A,40.77902099,-73.97302794,5,43124,73,25.3,3066,-0.4,2011,9,12,1920,2.2
14685,8,#N/A,41.75970098,-74.49034003,5.82,42879,37,27.8,1110,-0.4,2017,4,3,1979,-0.4
14686,8,#N/A,42.44394998,-73.58430606,5.61,42997,33,22,809,-0.4,2015,4,3,1941,-0.6
14687,8,#N/A,41.88732103,-73.79589496,4.92,43396,29,24,800,-0.4,2016,6,6,1979,-0.2
